Medicamento,Departamento,Mes,Ventas
"Fenobarbital 0,4% solución oral",Boyacá,Sep,NA
"Fenobarbital 0,4% solución oral",Boyacá,Oct,NA
"Fenobarbital 0,4% solución oral",Boyacá,Nov,NA
"Fenobarbital 0,4% solución oral",Boyacá,Dic,NA
"Fenobarbital 0,4% solución oral",Caldas,Ene,18
"Fenobarbital 0,4% solución oral",Caldas,Feb,8
"Fenobarbital 0,4% solución oral",Caldas,Mar,17
"Fenobarbital 0,4% solución oral",Caldas,Abr,4
"Fenobarbital 0,4% solución oral",Caldas,May,8
"Fenobarbital 0,4% solución oral",Caldas,Jun,19
"Fenobarbital 0,4% solución oral",Caldas,Jul,15
"Fenobarbital 0,4% solución oral",Caldas,Ago,14
"Fenobarbital 0,4% solución oral",Caldas,Sep,NA
"Fenobarbital 0,4% solución oral",Caldas,Oct,NA
"Fenobarbital 0,4% solución oral",Caldas,Nov,NA
"Fenobarbital 0,4% solución oral",Caldas,Dic,NA
"Fenobarbital 0,4% solución oral",Caquetá,Ene,NA
"Fenobarbital 0,4% solución oral",Caquetá,Feb,4
"Fenobarbital 0,4% solución oral",Caquetá,Mar,7
"Fenobarbital 0,4% solución oral",Caquetá,Abr,NA
"Fenobarbital 0,4% solución oral",Caquetá,May,NA
"Fenobarbital 0,4% solución oral",Caquetá,Jun,0
"Fenobarbital 0,4% solución oral",Caquetá,Jul,NA
"Fenobarbital 0,4% solución oral",Caquetá,Ago,15
"Fenobarbital 0,4% solución oral",Caquetá,Sep,NA
"Fenobarbital 0,4% solución oral",Caquetá,Oct,NA
"Fenobarbital 0,4% solución oral",Caquetá,Nov,NA
"Fenobarbital 0,4% solución oral",Caquetá,Dic,NA
"Fenobarbital 0,4% solución oral",Casanare,Ene,0
"Fenobarbital 0,4% solución oral",Casanare,Feb,NA
"Fenobarbital 0,4% solución oral",Casanare,Mar,NA
"Fenobarbital 0,4% solución oral",Casanare,Abr,NA
"Fenobarbital 0,4% solución oral",Casanare,May,NA
"Fenobarbital 0,4% solución oral",Casanare,Jun,0
"Fenobarbital 0,4% solución oral",Casanare,Jul,8
"Fenobarbital 0,4% solución oral",Casanare,Ago,5
"Fenobarbital 0,4% solución oral",Casanare,Sep,NA
"Fenobarbital 0,4% solución oral",Casanare,Oct,NA
"Fenobarbital 0,4% solución oral",Casanare,Nov,NA
"Fenobarbital 0,4% solución oral",Casanare,Dic,NA
"Fenobarbital 0,4% solución oral",Cauca,Ene,85
"Fenobarbital 0,4% solución oral",Cauca,Feb,13
"Fenobarbital 0,4% solución oral",Cauca,Mar,29
"Fenobarbital 0,4% solución oral",Cauca,Abr,45
"Fenobarbital 0,4% solución oral",Cauca,May,23
"Fenobarbital 0,4% solución oral",Cauca,Jun,6
"Fenobarbital 0,4% solución oral",Cauca,Jul,7
"Fenobarbital 0,4% solución oral",Cauca,Ago,30
"Fenobarbital 0,4% solución oral",Cauca,Sep,NA
"Fenobarbital 0,4% solución oral",Cauca,Oct,NA
"Fenobarbital 0,4% solución oral",Cauca,Nov,NA
"Fenobarbital 0,4% solución oral",Cauca,Dic,NA
"Fenobarbital 0,4% solución oral",Cesar,Ene,0
"Fenobarbital 0,4% solución oral",Cesar,Feb,0
"Fenobarbital 0,4% solución oral",Cesar,Mar,0
"Fenobarbital 0,4% solución oral",Cesar,Abr,4
"Fenobarbital 0,4% solución oral",Cesar,May,8
"Fenobarbital 0,4% solución oral",Cesar,Jun,2
"Fenobarbital 0,4% solución oral",Cesar,Jul,6
"Fenobarbital 0,4% solución oral",Cesar,Ago,3
"Fenobarbital 0,4% solución oral",Cesar,Sep,NA
"Fenobarbital 0,4% solución oral",Cesar,Oct,NA
"Fenobarbital 0,4% solución oral",Cesar,Nov,NA
"Fenobarbital 0,4% solución oral",Cesar,Dic,NA
"Fenobarbital 0,4% solución oral",Chocó,Ene,NA
"Fenobarbital 0,4% solución oral",Chocó,Feb,NA
"Fenobarbital 0,4% solución oral",Chocó,Mar,NA
"Fenobarbital 0,4% solución oral",Chocó,Abr,NA
"Fenobarbital 0,4% solución oral",Chocó,May,NA
"Fenobarbital 0,4% solución oral",Chocó,Jun,NA
"Fenobarbital 0,4% solución oral",Chocó,Jul,NA
"Fenobarbital 0,4% solución oral",Chocó,Ago,NA
"Fenobarbital 0,4% solución oral",Chocó,Sep,NA
"Fenobarbital 0,4% solución oral",Chocó,Oct,NA
"Fenobarbital 0,4% solución oral",Chocó,Nov,NA
"Fenobarbital 0,4% solución oral",Chocó,Dic,NA
"Fenobarbital 0,4% solución oral",Córdoba,Ene,337
"Fenobarbital 0,4% solución oral",Córdoba,Feb,6
"Fenobarbital 0,4% solución oral",Córdoba,Mar,10
"Fenobarbital 0,4% solución oral",Córdoba,Abr,1
"Fenobarbital 0,4% solución oral",Córdoba,May,13
"Fenobarbital 0,4% solución oral",Córdoba,Jun,12
"Fenobarbital 0,4% solución oral",Córdoba,Jul,29
"Fenobarbital 0,4% solución oral",Córdoba,Ago,21
"Fenobarbital 0,4% solución oral",Córdoba,Sep,NA
"Fenobarbital 0,4% solución oral",Córdoba,Oct,NA
"Fenobarbital 0,4% solución oral",Córdoba,Nov,NA
"Fenobarbital 0,4% solución oral",Córdoba,Dic,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Ene,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Feb,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Mar,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Abr,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,May,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Jun,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Jul,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Ago,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Sep,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Oct,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Nov,NA
"Fenobarbital 0,4% solución oral",Cundinamarca,Dic,NA
"Fenobarbital 0,4% solución oral",La Guajira,Ene,NA
"Fenobarbital 0,4% solución oral",La Guajira,Feb,NA
"Fenobarbital 0,4% solución oral",La Guajira,Mar,NA
"Fenobarbital 0,4% solución oral",La Guajira,Abr,NA
"Fenobarbital 0,4% solución oral",La Guajira,May,1
"Fenobarbital 0,4% solución oral",La Guajira,Jun,2
"Fenobarbital 0,4% solución oral",La Guajira,Jul,4
"Fenobarbital 0,4% solución oral",La Guajira,Ago,7
"Fenobarbital 0,4% solución oral",La Guajira,Sep,NA
"Fenobarbital 0,4% solución oral",La Guajira,Oct,NA
"Fenobarbital 0,4% solución oral",La Guajira,Nov,NA
"Fenobarbital 0,4% solución oral",La Guajira,Dic,NA
"Fenobarbital 0,4% solución oral",Guainía,Ene,NA
"Fenobarbital 0,4% solución oral",Guainía,Feb,NA
"Fenobarbital 0,4% solución oral",Guainía,Mar,NA
"Fenobarbital 0,4% solución oral",Guainía,Abr,NA
"Fenobarbital 0,4% solución oral",Guainía,May,NA
"Fenobarbital 0,4% solución oral",Guainía,Jun,NA
"Fenobarbital 0,4% solución oral",Guainía,Jul,2
"Fenobarbital 0,4% solución oral",Guainía,Ago,0
"Fenobarbital 0,4% solución oral",Guainía,Sep,NA
"Fenobarbital 0,4% solución oral",Guainía,Oct,NA
"Fenobarbital 0,4% solución oral",Guainía,Nov,NA
"Fenobarbital 0,4% solución oral",Guainía,Dic,NA
"Fenobarbital 0,4% solución oral",Guaviare,Ene,NA
"Fenobarbital 0,4% solución oral",Guaviare,Feb,NA
"Fenobarbital 0,4% solución oral",Guaviare,Mar,NA
"Fenobarbital 0,4% solución oral",Guaviare,Abr,NA
"Fenobarbital 0,4% solución oral",Guaviare,May,NA
"Fenobarbital 0,4% solución oral",Guaviare,Jun,NA
"Fenobarbital 0,4% solución oral",Guaviare,Jul,1
"Fenobarbital 0,4% solución oral",Guaviare,Ago,NA
"Fenobarbital 0,4% solución oral",Guaviare,Sep,NA
"Fenobarbital 0,4% solución oral",Guaviare,Oct,NA
"Fenobarbital 0,4% solución oral",Guaviare,Nov,NA
"Fenobarbital 0,4% solución oral",Guaviare,Dic,NA
"Fenobarbital 0,4% solución oral",Huila,Ene,0
"Fenobarbital 0,4% solución oral",Huila,Feb,NA
"Fenobarbital 0,4% solución oral",Huila,Mar,NA
"Fenobarbital 0,4% solución oral",Huila,Abr,NA
"Fenobarbital 0,4% solución oral",Huila,May,NA
"Fenobarbital 0,4% solución oral",Huila,Jun,NA
"Fenobarbital 0,4% solución oral",Huila,Jul,NA
"Fenobarbital 0,4% solución oral",Huila,Ago,0
"Fenobarbital 0,4% solución oral",Huila,Sep,NA
"Fenobarbital 0,4% solución oral",Huila,Oct,NA
"Fenobarbital 0,4% solución oral",Huila,Nov,NA
"Fenobarbital 0,4% solución oral",Huila,Dic,NA
"Fenobarbital 0,4% solución oral",Magdalena,Ene,NA
"Fenobarbital 0,4% solución oral",Magdalena,Feb,NA
"Fenobarbital 0,4% solución oral",Magdalena,Mar,NA
"Fenobarbital 0,4% solución oral",Magdalena,Abr,NA
"Fenobarbital 0,4% solución oral",Magdalena,May,2
"Fenobarbital 0,4% solución oral",Magdalena,Jun,0
"Fenobarbital 0,4% solución oral",Magdalena,Jul,2
"Fenobarbital 0,4% solución oral",Magdalena,Ago,2
"Fenobarbital 0,4% solución oral",Magdalena,Sep,NA
"Fenobarbital 0,4% solución oral",Magdalena,Oct,NA
"Fenobarbital 0,4% solución oral",Magdalena,Nov,NA
"Fenobarbital 0,4% solución oral",Magdalena,Dic,NA
"Fenobarbital 0,4% solución oral",Meta,Ene,131
"Fenobarbital 0,4% solución oral",Meta,Feb,5
"Fenobarbital 0,4% solución oral",Meta,Mar,21
"Fenobarbital 0,4% solución oral",Meta,Abr,2
"Fenobarbital 0,4% solución oral",Meta,May,NA
"Fenobarbital 0,4% solución oral",Meta,Jun,39
"Fenobarbital 0,4% solución oral",Meta,Jul,156
"Fenobarbital 0,4% solución oral",Meta,Ago,0
"Fenobarbital 0,4% solución oral",Meta,Sep,NA
"Fenobarbital 0,4% solución oral",Meta,Oct,NA
"Fenobarbital 0,4% solución oral",Meta,Nov,NA
"Fenobarbital 0,4% solución oral",Meta,Dic,NA
"Fenobarbital 0,4% solución oral",Nariño,Ene,60
"Fenobarbital 0,4% solución oral",Nariño,Feb,172
"Fenobarbital 0,4% solución oral",Nariño,Mar,64
"Fenobarbital 0,4% solución oral",Nariño,Abr,23
"Fenobarbital 0,4% solución oral",Nariño,May,NA
"Fenobarbital 0,4% solución oral",Nariño,Jun,39
"Fenobarbital 0,4% solución oral",Nariño,Jul,232
"Fenobarbital 0,4% solución oral",Nariño,Ago,37
"Fenobarbital 0,4% solución oral",Nariño,Sep,NA
"Fenobarbital 0,4% solución oral",Nariño,Oct,NA
"Fenobarbital 0,4% solución oral",Nariño,Nov,NA
"Fenobarbital 0,4% solución oral",Nariño,Dic,NA
"Fenobarbital 0,4% solución oral",Norte de Santander,Ene,44
"Fenobarbital 0,4% solución oral",Norte de Santander,Feb,34
"Fenobarbital 0,4% solución oral",Norte de Santander,Mar,60
"Fenobarbital 0,4% solución oral",Norte de Santander,Abr,30
"Fenobarbital 0,4% solución oral",Norte de Santander,May,54
"Fenobarbital 0,4% solución oral",Norte de Santander,Jun,36
"Fenobarbital 0,4% solución oral",Norte de Santander,Jul,70
"Fenobarbital 0,4% solución oral",Norte de Santander,Ago,32
"Fenobarbital 0,4% solución oral",Norte de Santander,Sep,NA
"Fenobarbital 0,4% solución oral",Norte de Santander,Oct,NA
"Fenobarbital 0,4% solución oral",Norte de Santander,Nov,NA
"Fenobarbital 0,4% solución oral",Norte de Santander,Dic,NA
"Fenobarbital 0,4% solución oral",Putumayo,Ene,0
"Fenobarbital 0,4% solución oral",Putumayo,Feb,94
"Fenobarbital 0,4% solución oral",Putumayo,Mar,6
"Fenobarbital 0,4% solución oral",Putumayo,Abr,2
"Fenobarbital 0,4% solución oral",Putumayo,May,6
"Fenobarbital 0,4% solución oral",Putumayo,Jun,NA
"Fenobarbital 0,4% solución oral",Putumayo,Jul,NA
"Fenobarbital 0,4% solución oral",Putumayo,Ago,NA
"Fenobarbital 0,4% solución oral",Putumayo,Sep,NA
"Fenobarbital 0,4% solución oral",Putumayo,Oct,NA
"Fenobarbital 0,4% solución oral",Putumayo,Nov,NA
"Fenobarbital 0,4% solución oral",Putumayo,Dic,NA
"Fenobarbital 0,4% solución oral",Quindío,Ene,0
"Fenobarbital 0,4% solución oral",Quindío,Feb,0
"Fenobarbital 0,4% solución oral",Quindío,Mar,0
"Fenobarbital 0,4% solución oral",Quindío,Abr,0
"Fenobarbital 0,4% solución oral",Quindío,May,0
"Fenobarbital 0,4% solución oral",Quindío,Jun,0
"Fenobarbital 0,4% solución oral",Quindío,Jul,0
"Fenobarbital 0,4% solución oral",Quindío,Ago,NA
"Fenobarbital 0,4% solución oral",Quindío,Sep,NA
"Fenobarbital 0,4% solución oral",Quindío,Oct,NA
"Fenobarbital 0,4% solución oral",Quindío,Nov,NA
"Fenobarbital 0,4% solución oral",Quindío,Dic,NA
"Fenobarbital 0,4% solución oral",Risaralda,Ene,17
"Fenobarbital 0,4% solución oral",Risaralda,Feb,2
"Fenobarbital 0,4% solución oral",Risaralda,Mar,2
"Fenobarbital 0,4% solución oral",Risaralda,Abr,18
"Fenobarbital 0,4% solución oral",Risaralda,May,0
"Fenobarbital 0,4% solución oral",Risaralda,Jun,9
"Fenobarbital 0,4% solución oral",Risaralda,Jul,21
"Fenobarbital 0,4% solución oral",Risaralda,Ago,11
"Fenobarbital 0,4% solución oral",Risaralda,Sep,30
"Fenobarbital 0,4% solución oral",Risaralda,Oct,NA
"Fenobarbital 0,4% solución oral",Risaralda,Nov,NA
"Fenobarbital 0,4% solución oral",Risaralda,Dic,NA
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Ene,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Feb,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Mar,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Abr,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,May,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Jun,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Jul,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Ago,0
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Sep,3
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Oct,NA
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Nov,NA
"Fenobarbital 0,4% solución oral",San Andrés y Providencia,Dic,NA
"Fenobarbital 0,4% solución oral",Santander,Ene,NA
"Fenobarbital 0,4% solución oral",Santander,Feb,NA
"Fenobarbital 0,4% solución oral",Santander,Mar,NA
"Fenobarbital 0,4% solución oral",Santander,Abr,1
"Fenobarbital 0,4% solución oral",Santander,May,NA
"Fenobarbital 0,4% solución oral",Santander,Jun,NA
"Fenobarbital 0,4% solución oral",Santander,Jul,10
"Fenobarbital 0,4% solución oral",Santander,Ago,63
"Fenobarbital 0,4% solución oral",Santander,Sep,NA
"Fenobarbital 0,4% solución oral",Santander,Oct,NA
"Fenobarbital 0,4% solución oral",Santander,Nov,NA
"Fenobarbital 0,4% solución oral",Santander,Dic,NA
"Fenobarbital 0,4% solución oral",Sucre,Ene,NA
"Fenobarbital 0,4% solución oral",Sucre,Feb,NA
"Fenobarbital 0,4% solución oral",Sucre,Mar,NA
"Fenobarbital 0,4% solución oral",Sucre,Abr,NA
"Fenobarbital 0,4% solución oral",Sucre,May,NA
"Fenobarbital 0,4% solución oral",Sucre,Jun,NA
"Fenobarbital 0,4% solución oral",Sucre,Jul,2
"Fenobarbital 0,4% solución oral",Sucre,Ago,0
"Fenobarbital 0,4% solución oral",Sucre,Sep,NA
"Fenobarbital 0,4% solución oral",Sucre,Oct,NA
"Fenobarbital 0,4% solución oral",Sucre,Nov,NA
"Fenobarbital 0,4% solución oral",Sucre,Dic,NA
"Fenobarbital 0,4% solución oral",Tolima,Ene,0
"Fenobarbital 0,4% solución oral",Tolima,Feb,0
"Fenobarbital 0,4% solución oral",Tolima,Mar,5
"Fenobarbital 0,4% solución oral",Tolima,Abr,4
"Fenobarbital 0,4% solución oral",Tolima,May,1
"Fenobarbital 0,4% solución oral",Tolima,Jun,1
"Fenobarbital 0,4% solución oral",Tolima,Jul,0
"Fenobarbital 0,4% solución oral",Tolima,Ago,8
"Fenobarbital 0,4% solución oral",Tolima,Sep,NA
"Fenobarbital 0,4% solución oral",Tolima,Oct,NA
"Fenobarbital 0,4% solución oral",Tolima,Nov,NA
"Fenobarbital 0,4% solución oral",Tolima,Dic,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Ene,576
"Fenobarbital 0,4% solución oral",Valle del Cauca,Feb,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Mar,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Abr,22
"Fenobarbital 0,4% solución oral",Valle del Cauca,May,1
"Fenobarbital 0,4% solución oral",Valle del Cauca,Jun,0
"Fenobarbital 0,4% solución oral",Valle del Cauca,Jul,226
"Fenobarbital 0,4% solución oral",Valle del Cauca,Ago,73
"Fenobarbital 0,4% solución oral",Valle del Cauca,Sep,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Oct,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Nov,NA
"Fenobarbital 0,4% solución oral",Valle del Cauca,Dic,NA
"Fenobarbital 0,4% solución oral",Vaupés,Ene,NA
"Fenobarbital 0,4% solución oral",Vaupés,Feb,NA
"Fenobarbital 0,4% solución oral",Vaupés,Mar,NA
"Fenobarbital 0,4% solución oral",Vaupés,Abr,NA
"Fenobarbital 0,4% solución oral",Vaupés,May,NA
"Fenobarbital 0,4% solución oral",Vaupés,Jun,NA
"Fenobarbital 0,4% solución oral",Vaupés,Jul,NA
"Fenobarbital 0,4% solución oral",Vaupés,Ago,NA
"Fenobarbital 0,4% solución oral",Vaupés,Sep,NA
"Fenobarbital 0,4% solución oral",Vaupés,Oct,NA
"Fenobarbital 0,4% solución oral",Vaupés,Nov,NA
"Fenobarbital 0,4% solución oral",Vaupés,Dic,NA
"Fenobarbital 0,4% solución oral",Vichada,Ene,NA
"Fenobarbital 0,4% solución oral",Vichada,Feb,0
"Fenobarbital 0,4% solución oral",Vichada,Mar,0
"Fenobarbital 0,4% solución oral",Vichada,Abr,0
"Fenobarbital 0,4% solución oral",Vichada,May,0
"Fenobarbital 0,4% solución oral",Vichada,Jun,0
"Fenobarbital 0,4% solución oral",Vichada,Jul,0
"Fenobarbital 0,4% solución oral",Vichada,Ago,0
"Fenobarbital 0,4% solución oral",Vichada,Sep,NA
"Fenobarbital 0,4% solución oral",Vichada,Oct,NA
"Fenobarbital 0,4% solución oral",Vichada,Nov,NA
"Fenobarbital 0,4% solución oral",Vichada,Dic,NA
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Ene,24
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Feb,45
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Mar,10
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Abr,8
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,May,24
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Jun,68
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Jul,28
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Ago,19
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Sep,51
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Oct,NA
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Nov,NA
"Fenobarbital 0,4% solución oral",Santafé de Bogotá,Dic,NA
Fenobarbital 10 mg tabletas,Amazonas,Ene,NA
Fenobarbital 10 mg tabletas,Amazonas,Feb,NA
Fenobarbital 10 mg tabletas,Amazonas,Mar,NA
Fenobarbital 10 mg tabletas,Amazonas,Abr,NA
Fenobarbital 10 mg tabletas,Amazonas,May,NA
Fenobarbital 10 mg tabletas,Amazonas,Jun,NA
Fenobarbital 10 mg tabletas,Amazonas,Jul,NA
Fenobarbital 10 mg tabletas,Amazonas,Ago,NA
Fenobarbital 10 mg tabletas,Amazonas,Sep,NA
Fenobarbital 10 mg tabletas,Amazonas,Oct,NA
Fenobarbital 10 mg tabletas,Amazonas,Nov,NA
Fenobarbital 10 mg tabletas,Amazonas,Dic,NA
Fenobarbital 10 mg tabletas,Antioquia,Ene,160
Fenobarbital 10 mg tabletas,Antioquia,Feb,2
Fenobarbital 10 mg tabletas,Antioquia,Mar,5
Fenobarbital 10 mg tabletas,Antioquia,Abr,10
Fenobarbital 10 mg tabletas,Antioquia,May,0
Fenobarbital 10 mg tabletas,Antioquia,Jun,0
Fenobarbital 10 mg tabletas,Antioquia,Jul,12
Fenobarbital 10 mg tabletas,Antioquia,Ago,0
Fenobarbital 10 mg tabletas,Antioquia,Sep,NA
Fenobarbital 10 mg tabletas,Antioquia,Oct,NA
Fenobarbital 10 mg tabletas,Antioquia,Nov,NA
Fenobarbital 10 mg tabletas,Antioquia,Dic,NA
Fenobarbital 10 mg tabletas,Arauca,Ene,0
Fenobarbital 10 mg tabletas,Arauca,Feb,0
Fenobarbital 10 mg tabletas,Arauca,Mar,NA
Fenobarbital 10 mg tabletas,Arauca,Abr,NA
Fenobarbital 10 mg tabletas,Arauca,May,NA
Fenobarbital 10 mg tabletas,Arauca,Jun,NA
Fenobarbital 10 mg tabletas,Arauca,Jul,NA
Fenobarbital 10 mg tabletas,Arauca,Ago,0
Fenobarbital 10 mg tabletas,Arauca,Sep,NA
Fenobarbital 10 mg tabletas,Arauca,Oct,NA
Fenobarbital 10 mg tabletas,Arauca,Nov,NA
Fenobarbital 10 mg tabletas,Arauca,Dic,NA
Fenobarbital 10 mg tabletas,Atlántico,Ene,25
Fenobarbital 10 mg tabletas,Atlántico,Feb,5
Fenobarbital 10 mg tabletas,Atlántico,Mar,4
Fenobarbital 10 mg tabletas,Atlántico,Abr,1
Fenobarbital 10 mg tabletas,Atlántico,May,19
Fenobarbital 10 mg tabletas,Atlántico,Jun,5
Fenobarbital 10 mg tabletas,Atlántico,Jul,5
Fenobarbital 10 mg tabletas,Atlántico,Ago,7
Fenobarbital 10 mg tabletas,Atlántico,Sep,NA
Fenobarbital 10 mg tabletas,Atlántico,Oct,NA
Fenobarbital 10 mg tabletas,Atlántico,Nov,NA
Fenobarbital 10 mg tabletas,Atlántico,Dic,NA
Fenobarbital 10 mg tabletas,Bolívar,Ene,NA
Fenobarbital 10 mg tabletas,Bolívar,Feb,NA
Fenobarbital 10 mg tabletas,Bolívar,Mar,NA
Fenobarbital 10 mg tabletas,Bolívar,Abr,5
Fenobarbital 10 mg tabletas,Bolívar,May,3
Fenobarbital 10 mg tabletas,Bolívar,Jun,NA
Fenobarbital 10 mg tabletas,Bolívar,Jul,0
Fenobarbital 10 mg tabletas,Bolívar,Ago,3
Fenobarbital 10 mg tabletas,Bolívar,Sep,NA
Fenobarbital 10 mg tabletas,Bolívar,Oct,NA
Fenobarbital 10 mg tabletas,Bolívar,Nov,NA
Fenobarbital 10 mg tabletas,Bolívar,Dic,NA
Fenobarbital 10 mg tabletas,Boyacá,Ene,13
Fenobarbital 10 mg tabletas,Boyacá,Feb,4
Fenobarbital 10 mg tabletas,Boyacá,Mar,22
Fenobarbital 10 mg tabletas,Boyacá,Abr,17
Fenobarbital 10 mg tabletas,Boyacá,May,13
Fenobarbital 10 mg tabletas,Boyacá,Jun,10
